model,test_accuracy,test_loss,params,model_size_mb,model_path,train_time_min,gpu_sec_per_batch,cpu_sec_per_batch,runtime_rss_before_mb,runtime_rss_after_mb,runtime_rss_delta_mb,memory_note
mobilenetv2_cifar10_transfer,0.9002000093460083,0.33982688188552856,2270794,22.175517082214355,models/mobilenetv2_cifar10_transfer.keras,5.495559291683333,0.021823429800001577,0.2854669776199853,114416.13671875,114495.9375,79.80078125,Notebook logs one global RSS measurement across all model benchmarks.
densenet121_cifar10_transfer,0.9261000156402588,0.22459569573402405,7047754,37.7080135345459,models/densenet121_cifar10_transfer.keras,9.499596459416665,0.043466563980000504,,114416.13671875,114495.9375,79.80078125,Notebook logs one global RSS measurement across all model benchmarks.
efficientnetb0_cifar10_transfer,0.9488000273704529,0.1618230938911438,4062381,34.023091316223145,models/efficientnetb0_cifar10_transfer.keras,5.415687803933334,0.029900258160000703,,114416.13671875,114495.9375,79.80078125,Notebook logs one global RSS measurement across all model benchmarks.
