Model,Test Accuracy,Test Loss,Training Time (min),Model Size (MB),Params,Input Size
ResNet50,0.9398000240325928,0.19358372688293457,9.97512808355,211.45491218566895,23608202,224x224
InceptionV3,0.8988000154495239,0.3014853000640869,5.218539587916668,164.84077072143555,21823274,299x299
