model_name,image_size,epochs_head,epochs_finetune,test_accuracy,test_loss,train_time_sec,params_million,saved_model_mb
ResNet50,224,5,5,0.9474999904632568,0.18624146282672882,368.94099438700005,23.608202,228.48646926879883
InceptionV3,299,5,5,0.9186000227928162,0.26385149359703064,407.826776053,21.823274,181.03276920318604
