epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.8975777626037598,0.2955121397972107,0.9138000011444092,0.2573883831501007,9.999999747378752e-06
2,0.9293333292007446,0.20387975871562958,0.9168000221252441,0.23916760087013245,9.999999747378752e-06
3,0.9484888911247253,0.14879551529884338,0.9193999767303467,0.23642602562904358,9.999999747378752e-06
4,0.9633111357688904,0.10691714286804199,0.9205999970436096,0.24343888461589813,9.999999747378752e-06
5,0.974911093711853,0.07468657940626144,0.9236000180244446,0.24365460872650146,9.999999747378752e-06
