Model,Train Acc,Val Acc,Test Acc,Train Loss,Val Loss,Test Loss
Original,0.8816999793052673,0.8141999840736389,0.8163999915122986,0.2873375117778778,0.42621225118637085,0.4229840934276581
Modified,0.8826249837875366,0.8317999839782715,0.8317999839782715,0.2817781865596771,0.3978694677352905,0.40007713437080383
