epoch,d_loss,g_loss
1,1.1901712174344266,1.0413104207851949
2,1.1213997705624654,1.2668868703847258
3,1.1185999459181077,1.3284481924313765
4,1.1463428444077826,1.2441295987775183
5,1.1649857222015023,1.159520104018032
6,1.1824131411874397,1.1490793113525097
7,1.21960614889096,1.0087571556751544
8,1.2282388745210109,0.9981229968814769
9,1.2398320097699125,0.9717302991029544
10,1.2630858798312325,0.9291283503556863
11,1.2692529931027665,0.9232176863866993
12,1.2769242244907932,0.9039979396849616
13,1.2867084074224162,0.882646621292473
14,1.3004837721331506,0.8598208803142238
15,1.3051658642088246,0.8466852946668608
